time_s,event_type,lane,detail,queue_after,signal_phase
27.0,phase_change,,phase=ALL_RED;duration_s=4.00;control_mode=adaptive,,ALL_RED
28.092,vehicle_arrival,north,vehicle joined queue,3,ALL_RED
28.246,vehicle_arrival,north,vehicle joined queue,4,ALL_RED
29.856,vehicle_arrival,east,vehicle joined queue,4,ALL_RED
30.802,vehicle_arrival,north,vehicle joined queue,5,ALL_RED
31.0,phase_change,,phase=EW_GREEN;duration_s=31.50;control_mode=adaptive;queue_pressure=9;arrival_rate_per_min=20.00,,EW_GREEN
31.816,vehicle_arrival,south,vehicle joined queue,2,EW_GREEN
31.884,vehicle_arrival,south,vehicle joined queue,3,EW_GREEN
31.997,vehicle_arrival,north,vehicle joined queue,6,EW_GREEN
32.146,vehicle_arrival,north,vehicle joined queue,7,EW_GREEN
32.169,vehicle_arrival,south,vehicle joined queue,4,EW_GREEN
32.486,vehicle_arrival,north,vehicle joined queue,8,EW_GREEN
32.692,vehicle_arrival,north,vehicle joined queue,9,EW_GREEN
33.647,vehicle_arrival,south,vehicle joined queue,5,EW_GREEN
33.776,vehicle_departure,east,vehicle cleared intersection,3,EW_GREEN
34.032,vehicle_departure,west,vehicle cleared intersection,4,EW_GREEN
34.65,vehicle_arrival,north,vehicle joined queue,10,EW_GREEN
34.766,vehicle_arrival,west,vehicle joined queue,5,EW_GREEN
35.455,vehicle_arrival,north,vehicle joined queue,11,EW_GREEN
36.524,vehicle_departure,east,vehicle cleared intersection,2,EW_GREEN
37.035,vehicle_departure,west,vehicle cleared intersection,4,EW_GREEN
37.48,vehicle_arrival,west,vehicle joined queue,5,EW_GREEN
38.428,vehicle_arrival,east,vehicle joined queue,3,EW_GREEN
38.673,vehicle_arrival,west,vehicle joined queue,6,EW_GREEN
38.757,vehicle_arrival,south,vehicle joined queue,6,EW_GREEN
38.769,vehicle_arrival,south,vehicle joined queue,7,EW_GREEN
39.205,vehicle_arrival,north,vehicle joined queue,12,EW_GREEN
39.245,vehicle_departure,east,vehicle cleared intersection,2,EW_GREEN
39.771,vehicle_arrival,east,vehicle joined queue,3,EW_GREEN
40.039,vehicle_departure,west,vehicle cleared intersection,5,EW_GREEN
40.167,vehicle_arrival,south,vehicle joined queue,8,EW_GREEN
41.957,vehicle_arrival,south,vehicle joined queue,9,EW_GREEN
41.966,vehicle_departure,east,vehicle cleared intersection,2,EW_GREEN
43.071,vehicle_departure,west,vehicle cleared intersection,4,EW_GREEN
43.456,vehicle_arrival,east,vehicle joined queue,3,EW_GREEN
44.174,vehicle_arrival,west,vehicle joined queue,5,EW_GREEN
44.688,vehicle_departure,east,vehicle cleared intersection,2,EW_GREEN
46.075,vehicle_departure,west,vehicle cleared intersection,4,EW_GREEN
46.864,vehicle_arrival,north,vehicle joined queue,13,EW_GREEN
47.151,vehicle_arrival,north,vehicle joined queue,14,EW_GREEN
47.349,vehicle_arrival,west,vehicle joined queue,5,EW_GREEN
47.351,vehicle_arrival,north,vehicle joined queue,15,EW_GREEN
47.409,vehicle_departure,east,vehicle cleared intersection,1,EW_GREEN
47.876,vehicle_arrival,north,vehicle joined queue,16,EW_GREEN
48.076,vehicle_arrival,north,vehicle joined queue,17,EW_GREEN
48.36,vehicle_arrival,north,vehicle joined queue,18,EW_GREEN
48.428,vehicle_arrival,north,vehicle joined queue,19,EW_GREEN
48.877,vehicle_arrival,west,vehicle joined queue,6,EW_GREEN
